delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
10.625,0.175566066066,2.17873088972,10.0,0,192,0.339181215314,0.106589794159,0_7_2
193.90860033,0.249543114041,0.425009578737,20.0,0,205,0.346578920112,0.000667095184326,0_6_3
229.0,0.409611510791,0.414729241877,10.0,0,282,0.593610827163,0.00335192680359,0_8_8
201.0,0.412080321285,0.415228915663,5.0,0,445,0.795081893695,0.00260400772095,0_11_9
227.0,0.373527272727,0.334196363636,2.5,0,472,0.772547660518,0.00106501579285,1_13_6
229.78125,0.36840321203,0.275514217087,1.25,0,502,0.770545809236,0.00233292579651,3_12_5
297.0,0.298173410405,0.133194202899,1.0,0,551,0.753976882019,0.000190019607544,6_9_5
308.16015625,0.264756788756,0.0794089188763,1.0,0,955,0.722310567788,0.0011191368103,11_8_1
6.0,0.201543859649,0.212740740741,1.0,0,1034,0.429464659138,0.0228831768036,17_2_0
0.0,0.182349206349,0.294564102564,1.0,0,1110,0.80180309809,0.0367729663849,18_2_0
156.0,0.0495172413793,0.648041025641,11.0,0,1308,0.658411165159,0.00262999534607,8_6_6
160.375,0.10255740842,0.569514088251,5.5,0,1321,0.663715181863,0.000224113464355,8_6_6
201.44007498,0.277052424275,0.272986555931,2.75,0,1781,0.615616625681,0.00222897529602,12_8_0
365.546875,0.10192312742,0.113059962502,1.375,0,1824,0.656484784094,0.000808954238892,17_3_0
17.375,0.403121131742,0.209813439434,1.0,0,1931,0.445710192355,0.0103089809418,20_0_0
0.0,0.267162790698,0.370580645161,1.0,0,1971,0.844196505882,0.00762295722961,19_1_0
121.0,0.0709135802469,0.831368421053,11.0,0,2126,0.763867269672,0.000839948654175,12_6_2
158.672902472,0.380575272118,0.480829210442,5.5,0,2588,0.665238641561,0.00149703025818,17_2_0
480.942871094,0.115575627167,0.0931781455917,2.75,0,3484,0.635958517309,0.00200700759888,20_0_0
752.078125,0.0552577157197,0.0836546805369,1.375,0,3540,0.347329267105,0.0050060749054,20_0_0
19.25,0.425481481481,0.247100377358,1.0,0,3589,0.843405129433,0.0205221176147,20_0_0
12.0,0.182349206349,3.41535135135,11.0,0,3657,0.425457941499,0.0287489891052,6_12_2
42.5222973228,0.62710429007,1.70270614502,21.0,0,3691,0.644161125567,0.016361951828,6_6_8
88.0,0.95006255244,1.28785813107,31.0,0,3945,0.858024089318,0.00345206260681,5_8_7
